"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
State or DC
GeoFips,GeoName,LineCode,Description,2022
00000,United States,,Real dollar statistics,
00000,United States,1,"  Real GDP (millions of chained 2012 dollars) 1/",20014128.0
00000,United States,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
00000,United States,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
00000,United States,,Current dollar statistics (millions of dollars),
00000,United States,4,"  Gross domestic product (GDP)",25462722.0
00000,United States,5,"  Personal income",21804787.5
00000,United States,6,"  Disposable personal income",18608076.5
00000,United States,7,"  Personal consumption expenditures",(NA)
00000,United States,,Real per capita dollar statistics (constant 2012 dollars),
00000,United States,8,"  Real per capita personal income 4/",(NA)
00000,United States,9,"  Real per capita PCE 5/",(NA)
00000,United States,,Per capita current dollar statistics,
00000,United States,10,"  Per capita personal income 6/",65423
00000,United States,11,"  Per capita disposable personal income 7/",55832
00000,United States,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
00000,United States,,Price indexes,
00000,United States,13,"  Regional price parities (RPPs) 9/",(NA)
00000,United States,14,"  Implicit regional price deflator 10/",(NA)
00000,United States,,Employment,
00000,United States,15,"  Total employment (number of jobs)",(NA)
01000,Alabama,,Real dollar statistics,
01000,Alabama,1,"  Real GDP (millions of chained 2012 dollars) 1/",213264.8
01000,Alabama,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
01000,Alabama,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
01000,Alabama,,Current dollar statistics (millions of dollars),
01000,Alabama,4,"  Gross domestic product (GDP)",277817.5
01000,Alabama,5,"  Personal income",256949.4
01000,Alabama,6,"  Disposable personal income",228746.5
01000,Alabama,7,"  Personal consumption expenditures",(NA)
01000,Alabama,,Real per capita dollar statistics (constant 2012 dollars),
01000,Alabama,8,"  Real per capita personal income 4/",(NA)
01000,Alabama,9,"  Real per capita PCE 5/",(NA)
01000,Alabama,,Per capita current dollar statistics,
01000,Alabama,10,"  Per capita personal income 6/",50637
01000,Alabama,11,"  Per capita disposable personal income 7/",45079
01000,Alabama,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
01000,Alabama,,Price indexes,
01000,Alabama,13,"  Regional price parities (RPPs) 9/",(NA)
01000,Alabama,14,"  Implicit regional price deflator 10/",(NA)
01000,Alabama,,Employment,
01000,Alabama,15,"  Total employment (number of jobs)",(NA)
02000,Alaska,,Real dollar statistics,
02000,Alaska,1,"  Real GDP (millions of chained 2012 dollars) 1/",49633.7
02000,Alaska,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
02000,Alaska,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
02000,Alaska,,Current dollar statistics (millions of dollars),
02000,Alaska,4,"  Gross domestic product (GDP)",63618.0
02000,Alaska,5,"  Personal income",50557.8
02000,Alaska,6,"  Disposable personal income",45515.3
02000,Alaska,7,"  Personal consumption expenditures",(NA)
02000,Alaska,,Real per capita dollar statistics (constant 2012 dollars),
02000,Alaska,8,"  Real per capita personal income 4/",(NA)
02000,Alaska,9,"  Real per capita PCE 5/",(NA)
02000,Alaska,,Per capita current dollar statistics,
02000,Alaska,10,"  Per capita personal income 6/",68919
02000,Alaska,11,"  Per capita disposable personal income 7/",62045
02000,Alaska,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
02000,Alaska,,Price indexes,
02000,Alaska,13,"  Regional price parities (RPPs) 9/",(NA)
02000,Alaska,14,"  Implicit regional price deflator 10/",(NA)
02000,Alaska,,Employment,
02000,Alaska,15,"  Total employment (number of jobs)",(NA)
04000,Arizona,,Real dollar statistics,
04000,Arizona,1,"  Real GDP (millions of chained 2012 dollars) 1/",356417.0
04000,Arizona,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
04000,Arizona,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
04000,Arizona,,Current dollar statistics (millions of dollars),
04000,Arizona,4,"  Gross domestic product (GDP)",458949.8
04000,Arizona,5,"  Personal income",417020.8
04000,Arizona,6,"  Disposable personal income",364227.3
04000,Arizona,7,"  Personal consumption expenditures",(NA)
04000,Arizona,,Real per capita dollar statistics (constant 2012 dollars),
04000,Arizona,8,"  Real per capita personal income 4/",(NA)
04000,Arizona,9,"  Real per capita PCE 5/",(NA)
04000,Arizona,,Per capita current dollar statistics,
04000,Arizona,10,"  Per capita personal income 6/",56667
04000,Arizona,11,"  Per capita disposable personal income 7/",49493
04000,Arizona,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
04000,Arizona,,Price indexes,
04000,Arizona,13,"  Regional price parities (RPPs) 9/",(NA)
04000,Arizona,14,"  Implicit regional price deflator 10/",(NA)
04000,Arizona,,Employment,
04000,Arizona,15,"  Total employment (number of jobs)",(NA)
05000,Arkansas,,Real dollar statistics,
05000,Arkansas,1,"  Real GDP (millions of chained 2012 dollars) 1/",126532.2
05000,Arkansas,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
05000,Arkansas,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
05000,Arkansas,,Current dollar statistics (millions of dollars),
05000,Arkansas,4,"  Gross domestic product (GDP)",165220.6
05000,Arkansas,5,"  Personal income",157724.9
05000,Arkansas,6,"  Disposable personal income",140762.8
