State,Unemployment Rate (2021),Median Household Income (2021),Obesity
Texas,5.6,66959.0,32.4
California,7.3,84831.0,24.2
Kentucky,4.4,55532.0,34.6
Georgia,3.9,66507.0,30.7
Wisconsin,3.8,67150.0,30.7
Oregon,5.2,71441.0,30.1
Virginia,3.9,80926.0,29.2
Tennessee,4.5,59698.0,33.8
Louisiana,5.6,52090.0,36.2
New York,7.0,74230.0,25.0
Michigan,5.8,63444.0,31.2
Idaho,3.5,66318.0,28.6
Florida,4.6,63054.0,26.8
Alaska,6.4,78437.0,29.8
Montana,3.4,63357.0,23.6
Minnesota,3.8,77712.0,26.1
Nebraska,2.7,66949.0,31.4
Washington,5.2,84155.0,26.4
Ohio,5.1,62286.0,29.8
Illinois,6.1,72215.0,30.8
Missouri,4.1,61815.0,32.4
Iowa,3.8,65645.0,32.1
South Dakota,2.6,66843.0,30.4
Arkansas,4.1,52577.0,34.5
Mississippi,5.5,48871.0,35.6
Colorado,5.4,82228.0,20.2
North Carolina,4.9,61997.0,30.1
Utah,2.7,79449.0,24.5
Oklahoma,4.0,55829.0,33.9
Wyoming,4.6,66508.0,29.0
West Virginia,5.1,51122.0,35.6
Indiana,3.9,62723.0,31.3
Massachusetts,5.5,89577.0,24.3
Nevada,6.9,66194.0,26.7
Connecticut,6.3,83628.0,25.3
District of Columbia,6.8,91072.0,22.1
Rhode Island,5.5,73324.0,26.0
Alabama,3.4,53990.0,35.6
Puerto Rico,7.9,,29.5
South Carolina,3.9,59447.0,31.7
Maine,4.6,64823.0,30.0
Hawaii,6.0,85547.0,22.7
Arizona,5.1,68967.0,28.4
New Mexico,7.1,54304.0,28.8
Maryland,5.3,90129.0,28.9
Delaware,5.5,71636.0,29.7
Pennsylvania,6.0,68931.0,30.0
Kansas,3.3,64128.0,34.2
Vermont,3.7,72415.0,25.1
New Jersey,6.6,89227.0,25.6
North Dakota,3.1,67603.0,31.0
New Hampshire,3.4,88268.0,26.3
