Pop2010,FamiliesUnderPover,Obesity
4779736,342551.48,35.6
710231,27456.97,29.8
6392017,371202.424,28.4
2915918,207272.717,34.5
37253956,1735055.861,24.2
5029196,223126.749,20.2
3574097,138094.723,25.3
897934,40927.44,29.7
601723,42997.948,22.1
18801310,1085352.178,26.8
9687653,593889.067,30.7
1360301,46590.391,22.7
1567582,83002.842,28.6
12830632,640325.052,30.8
6483802,363902.115,31.3
3046355,145843.126,32.1
2853118,143135.459,34.2
4339367,317857.062,34.6
4533372,340255.122,36.2
1328361,71507.802,30.0
5773552,211594.32,28.9
6547629,279508.93,24.3
9883640,588720.894,31.2
5303925,215802.045,26.1
2967297,236417.306,35.6
5988927,346376.5,32.4
989415,56858.07,23.6
1826341,85336.235,31.4
2700551,139849.576,26.7
1316470,42523.637,26.3
8791894,325751.253,25.6
2059179,152007.072,28.8
19378102,1047276.442,25.0
9535483,592928.037,30.1
672591,31923.831,31.0
11536504,691825.142,29.8
3751351,241332.774,33.9
3831074,217449.237,30.1
12702379,646109.882,30.0
1052567,53503.633,26.0
4625364,297529.197,31.7
814180,41539.852,30.4
6346105,414674.791,33.8
25145561,1385699.063,32.4
2763885,96978.15,24.5
625741,29314.167,25.1
8001024,351440.638,29.2
6724540,307124.689,26.4
1852994,139573.454,35.6
5686986,271947.919,30.7
563626,25757.572,29.0
